client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_ur_30644821.mp3	54f4d9e0974608f8fea5c31e558ae45610515b9bb834716b25d1dad8d7c90263	ابتدائی اقدامات میں ایک متوازن یکسمتی حرکت دکھاتا ہے		2	0	twenties	male_masculine			ur	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_ur_30644822.mp3	3fb13162c9a1405d1ba6be8027c027a3cfef7159120d3a9cf354f306d1e04434	اس کے بعد ہی اسے جائز کہا جا سکتا ہے		2	1	twenties	male_masculine			ur	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_ur_30644824.mp3	571742609bc8df991f105ac73f917776d39322c190d46d7159a73249b7ad2d01	حکومت کمزور ہے۔		2	0	twenties	male_masculine			ur	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_ur_30644829.mp3	4d3ec384a9ad0416051de5a393d82b35e2ecea6bc153e03b8647ddd5da6e7666	ہر جگہ کسی نہ کسی قسم کے پرندے پائے جاتے ہیں		2	0	twenties	male_masculine			ur	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_ur_30644830.mp3	310f3f7ccb6357e028d52b8b53a7910f2923b57f971761a0975f3959937bf0d8	پمز سمیت تمام ھسپتالوں میں اصلی جراثیم کش سپرے کریں		2	0	twenties	male_masculine			ur	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_ur_30644832.mp3	4e3ee427a024891b33900ef4952be5c70ebe1be5ee25eaa93785bf88a7a41be6	جب چوہدری نثار کے گھر پر حملہ ہوا۔		4	0	twenties	male_masculine			ur	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_ur_30644833.mp3	5565854e151f1a0d6dba12a526ff95de6464a7a25eea91fd725c711d19c7a364	طاقت کا ایک مرکز میڈیا بھی ہے۔		2	0	twenties	male_masculine			ur	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_ur_30644835.mp3	515dde8c96a5b7e314c5f482a76ac124a9888e2b40342e8a27db2f507b8635ee	انہیں اپنے کیے کی سزا ملنی چاہیے۔		2	0	twenties	male_masculine			ur	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_ur_30644836.mp3	4cc932082827e59ef6386b490da0f7a82147c3a3a4ea99f0b356103b21c3bb37	خواتین کرکٹرز کا فٹنس ٹیسٹ یو یو میں تمام کھلاڑی پاس		3	0	twenties	male_masculine			ur	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_ur_30644837.mp3	4b1e975edc77cf37cb408eff24d075c5b895b0f047a2bea643588289c9c5f46d	اب دوسنی ریاستیں برسر پیکار ہیں۔		2	0	twenties	male_masculine			ur	
